title,description,News Feed,Extraction Date,
US v Europe - a cultural gap on the right to be forgotten,What the EU Google ruling says about the US/Europe divide,BBC,5/15/2014,
"VIDEO: 50,000 gallons of oil on LA streets","An oil pipe in Los Angeles has broken, spilling an estimated 50,000 gallons (190,000 litres) of oil in the streets.",BBC,5/15/2014,
VIDEO: 9/11 museum dedication: Key moments,"Watch key moments as President Obama, survivors and rescuers attend the dedication of a memorial museum on the site of the September 11 attacks in New York",BBC,5/15/2014,
VIDEO: Analyst explains Dixons' survival,"Bryan Roberts, an analyst from Kantar Retail, explains how has Dixons has managed to survive in a time of struggling high streets and failing electronics retailers.",BBC,5/15/2014,
VIDEO: Ariel Castro captivity 'sheer torture',"Michelle Knight, one of three women who were held captive for 11 years by Ariel Castro, has spoken to the BBC about her brutal experience.",BBC,5/15/2014,
VIDEO: Extradition couple taken to hospital,A British couple due to be extradited to the United States over fraud and money-laundering charges have been taken to hospital.,BBC,5/15/2014,
VIDEO: Inside September 11 memorial museum,A look inside the 9/11 memorial museum in New York,BBC,5/15/2014,
VIDEO: Mini-satellites' new view of Earth,Richard Taylor reports on the low-cost satellite technology providing revolutionary ways to view life on Earth.,BBC,5/15/2014,
VIDEO: New generation fuels Mexican violence,"The Mexican authorities have killed or captured some of the country's leading drugs traffickers in recent months, but a new generation are continuing the deadly business, as Paul Wood reports.",BBC,5/15/2014,
VIDEO: 'Not many choices' in Damascus,Syrian businessman Ammar Sinan is one of many dealing with the challenges of daily life in Damascus. He runs two companies in the capital.,BBC,5/15/2014,
VIDEO: Opening the doors on animal testing,"UK animal researchers have signed a pledge to be transparent about the nature of their experiments. In a film for BBC Newsnight, surgeon Gabriel Weston considers the pros and cons of testing and is given access to a medical research facility.",BBC,5/15/2014,
VIDEO: Optical illusion lets you withdraw cash,"Intel have shown off a user interface that allows users to touch the air to enter data, using special glass, and motion sensor cameras.",BBC,5/15/2014,
VIDEO: Ospreys observatory has 'incredible views',A two-storey wildlife observatory at the home of one of only two known breeding pairs of ospreys in Wales officially opens.,BBC,5/15/2014,
VIDEO: Plaid 'perfectly relaxed' on EU referendum,"Plaid Cymru leader Leanne Wood is ""perfectly relaxed"" about a referendum on Welsh membership of the European Union.",BBC,5/15/2014,
VIDEO: 'Plug and play': Solar charging a PC,A solar power system has been developed that allows computers to work while they are being charged.,BBC,5/15/2014,
VIDEO: PM 'passionate about UK',"David Cameron says his message to Scottish voters ahead of the referendum on independence is ""unrelentingly positive"".",BBC,5/15/2014,
VIDEO: Protesters hit in Turkey PM mine visit,Video footage and a photos have emerged of two protesters being assaulted during the Turkish Prime Minister's visit to the town of Soma.,BBC,5/15/2014,
VIDEO: 'Raiders of lost wrecks' found guilty,Two men have pleaded guilty to stealing hundreds of thousands of pounds worth of rare artefacts from wrecks off Britain's coast.,BBC,5/15/2014,
VIDEO: Rescued boy hails his cat hero,A cat in the US has rescued a four-year-old boy who was being attacked by a dog.,BBC,5/15/2014,
VIDEO: The formula to online photo success?,The algorithm which claims it can predict photo-sharing success before you post it online. Spencer Kelly reports.,BBC,5/15/2014,
VIDEO: The man who draws your tweets,The man who draws your tweets and tweets them back,BBC,5/15/2014,
VIDEO: The table tennis star with no arms,"Ibrahim Hamato lost both arms in an accident when he was 10, but carried on playing - with his mouth.",BBC,5/15/2014,
VIDEO: Thousands flee California wildfire,"Thousands of people have fled their homes in southern California to avoid an aggressive wildfire that's destroyed several houses so far in the city of Carlsbad, near San Diego.",BBC,5/15/2014,
VIDEO: Timothy Spall on playing Mr Turner,"Mike Leigh and Timothy Spall talk about their Palme D'Or contender Mr Turner, at a Cannes Film Festival press conference",BBC,5/15/2014,
VIDEO: Wolf Hall plays in the West End,The stage versions of Hilary Mantel's historical novels Wolf Hall and Bring Up the Bodies are having a limited season in the West End.,BBC,5/15/2014,
VIDEO: Would you withdraw cash 'in 3D'?,"Intel have shown off a user interface that allows users to touch the air to enter data, using special glass, and motion sensor cameras.",BBC,5/15/2014,
Vietnam anti-China protest kills one,"A Chinese worker is killed and almost 150 others hurt as protesters attack a steel mill in Vietnam, amid anti-China tensions over the South China Sea dispute.",BBC,5/15/2014,
Vietnam anti-China protest kills one,"Reports say one person has been killed in a riot at a Taiwanese steel mill in Vietnam, amid anti-China tensions over the South China Sea.",BBC,5/15/2014,
Vietnam anti-China protest kills one,"A Chinese worker is killed and at least 90 others hurt as protesters attack a steel mill in Vietnam, amid anti-China tensions over the South China Sea dispute.",BBC,5/15/2014,
Wales 'to capitalise on Nato summit',"First Minister Carwyn Jones says ministers are constantly discussing events around the Nato summit, after criticism of the efforts to ensure Wales benefits.",BBC,5/15/2014,
Walkie-Talkie sun glare to be fixed,"Permanent sunshade will be attached to London's ""Walkie-Talkie"" skyscraper to prevent reflected sunlight damaging property.",BBC,5/15/2014,
We need to regain respect - Lancaster,Stuart Lancaster wants England to restore their reputation when they travel to New Zealand for June's three-Test tour.,BBC,5/15/2014,
Which names do merged businesses discard?,Which names do merged companies throw away?,BBC,5/15/2014,
Which names do merged businesses discard?,"Dixons and Carphone Warehouse have merged to form Dixons Carphone. But when two businesses merge, what's the best way to marry their names",BBC,5/15/2014,
Wiggins extends lead in California,Briton Sir Bradley Wiggins extends his lead in the Tour of California to 28 seconds with four stages remaining.,BBC,5/15/2014,
Wilshere gets help from critic Scholes,"Jack Wilshere gets advice from ex-Manchester United player Paul Scholes, who has criticised the Arsenal midfielder's game.",BBC,5/15/2014,
Your pictures: Philippines,Readers' photos on the theme of Philippines,BBC,5/15/2014,
Your pictures: Philippines,"Readers' photos on the theme of ""Philippines"".",BBC,5/15/2014,
YouTube in 2015 election debate bid,"YouTube, the Daily Telegraph and the Guardian are making a joint bid to host a leaders' debate before next year's election.",BBC,5/15/2014,
 Bieber accused of attempted robbery,"In this week's episode of Justin Bieber's brush with the law, the pop singer has been accused of attempted robbery, police said.",CNN,5/15/2014,
"1 in 4 adults anti-Semitic, study finds","One in four adults worldwide are ""deeply infected with anti-Semitic attitudes,"" the Anti-Defamation League announced, in releasing results of an unprecedented global survey.",CNN,5/15/2014,
100% of state in drought; fires rage,"Fire blackened the skies in one California neighborhood and sent a ""firenado"" -- a column resembling a tornado with smoke and flames -- twisting into the air.",CNN,5/15/2014,
12-foot python takes over bathroom,"Walking in on an already occupied bathroom can be awkward and uncomfortable, but when that occupant is a 12-foot python, it can be terrifying.",CNN,5/15/2014,
1st look inside museum,Mayor Bloomberg takes Jake Tapper on a tour of the 9/11 museum set to open May 15.,CNN,5/15/2014,
"7th grader: Cops cuffed, kicked me",A family is outraged after video surfaces of a police officer allegedly handcuffing and kicking their 7th grade son.,CNN,5/15/2014,
9/11 museum,"When does the ordinary -- letters, gloves, wallets -- become extraordinary?",CNN,5/15/2014,
9/11 museum first look,Mayor Bloomberg takes Jake Tapper on a tour of the 9/11 museum set to open May 15.,CNN,5/15/2014,
9/11 museum opens in N.Y.,"A worker's gloves, a scrap of steel, a wallet. Objects that survived obliteration on 9/11 find a home — and meaning — in new museum.",CNN,5/15/2014,
Aaron Hernandez,"Ex-New England Patriots star Aaron Hernandez has been charged with two counts of first-degree murder in the July 2012 killings of two men in Boston, authorities said Thursday.",CNN,5/15/2014,
Adoptive mom: Dad 'a total stranger'',"The last time Sonya's adoptive parents heard her voice, the girl was begging to return to the only home she'd ever known.",CNN,5/15/2014,
"After days missing, Casey Kasem spotted","Days after he left a nursing home, radio icon Casey Kasem was spotted in Washington state -- but exactly where he is remains a mystery. His family has ""grave concerns about his medical care.""",CNN,5/15/2014,
"After days missing, Casey Kasem spotted","Days after he left a nursing home, radio icon Casey Kasem was spotted in Washington state -- but his exact location remains unclear. His family has ""grave concerns about his medical care.""",CNN,5/15/2014,
All-time great DJs,"They were, and are, your guide to the airwaves: the vinyl spinners, the blasts from the past, the paramount players of the platters that matter. Here are 10 of the all-time great disc jockeys:",CNN,5/15/2014,
Apostasy,"A Sudanese court has sentenced a Christian woman to death for renouncing Islam, her lawyer said Thursday.",CNN,5/15/2014,
At risk for HIV? Daily pill advised,"For years the message has been simple: condoms prevent HIV. But if you are at high risk of contracting the virus, health experts want you to consider another strategy.",CNN,5/15/2014,
Badass hero Tara shows cats rule,"Apparently, cats do rule and dogs drool. What other conclusion could any human being with a heart draw from the video in which a little cat bravely and boldly saves a boy being attacked by a dog?",CNN,5/15/2014,
Barbara Walters: 'It's time' to retire,"Barbara Walters' legacy, Bryan Cranston's remake confidence, and Ken Watanbe's translator gig!",CNN,5/15/2014,
Barbara Walters: 'It's time' to retire,Barbara Walters is retiring after a career that spans 50 years. She speaks with CNN's Chris Cuomo.,CNN,5/15/2014,
"Beyonce, Jay Z, Solange break silence ",The Carter-Knowles family releases a statement about their already infamous elevator brawl.,CNN,5/15/2014,
Big ideas for an era of paralyzed politics,Anne-Marie Slaughter says the smart way to react to political paralysis is to innovate; the politics will follow,CNN,5/15/2014,
Bizarre GOP debate goes viral,Conservative voters in Idaho are faced with a colorful debate in this video that has gone viral.,CNN,5/15/2014,
Booted from prom for her short dress?,Just when you thought you'd heard everything.,CNN,5/15/2014,
Broken parts to delay Flight 370 search,"The underwater search for Malaysia Airlines Flight 370 is on hold -- and probably will be for at least four days -- because of a malfunctioning part on the submersible Bluefin-21 and a broken transponder on the Bluefin's mother ship, the U.S. Navy's deputy director of ocean engineering said Wednesday.",CNN,5/15/2014,
Can't afford a house? Try this,"How do you get a foot on the property ladder, when you live in one of the most expensive cities in the world?",CNN,5/15/2014,
Casey Kasem,"Days after he left a nursing home, radio icon Casey Kasem has been found in Washington state -- but exactly where remains a mystery.",CNN,5/15/2014,
Casey Kasem found,"Days after he left a nursing home, radio icon Casey Kasem was spotted in Washington state -- but his exact location remains unclear. His family has ""grave concerns about his medical care.""",CNN,5/15/2014,
Casey Kasem found in Wash. state,"Radio icon Casey Kasem has been found in Washington state, a representative for his daughter told CNN late Wednesday night.",CNN,5/15/2014,
Courts rule on gay marriage in 2 states,"Two days after Idaho became the latest state where a federal judge effectively legalized same-sex marriage, an appeals court has stepped in to prevent such unions -- at least for now.",CNN,5/15/2014,
Do you know where this is?,Photo of the Day,CNN,5/15/2014,
Documentary stirs controversy,Thursday's opening of the National September 11 Memorial Museum in New York was 13 years in the making.,CNN,5/15/2014,
Donald Sterling in CNN exclusive: Clippers will play if I am still owner,"Los Angeles Clippers owner Donald Sterling says he thinks that if he is able to keep his team, he won't have to worry about an NBA players strike next season.",CNN,5/15/2014,
Don't like to eat alone? Try this ,"Talk about creative coping mechanisms for being alone -- from the blogger who photographs selfies with his imaginary girlfriend to the company that takes your stuffed animals on vacation without you, Japan appears to be cornering the market on accommodating solo travelers.",CNN,5/15/2014,
Ex-NFL player charged in more killings,Former New England Patriots star Aaron Hernandez -- already charged in the 2013 slaying of a semipro football player -- faces murder charges in a 2012 double homicide in Boston.,CNN,5/15/2014,
Extreme experiences in the U.S.,"Wherever we go, travel bombards us with superlatives.",CNN,5/15/2014,
Face-to-face audit ordered,"Veterans Affairs Secretary Eric Shinseki has ordered a ""face-to-face audit"" at all Department of Veterans Affairs clinics, a spokeswoman told CNN on Thursday.",CNN,5/15/2014,
'Fat girl' TV episode sparks debate,"An episode on the TV show ""Louie"" is causing controversy after it grappled with the idea of dating an overweight woman.",CNN,5/15/2014,
FDA cuts recommended sleep-aid dose,"Lunesta may help you doze off at night, but it's the morning after that has officials concerned -- which is why on Thursday they halved the recommended dosage for the well-known sleep aid drug.",CNN,5/15/2014,
Ferry CEO charged ,The CEO of the company that operated the Sewol ferry has been charged with causing death by negligence.,CNN,5/15/2014,
First look inside museum,Mayor Bloomberg takes Jake Tapper on a tour of the 9/11 museum set to open May 15.,CNN,5/15/2014,
Flight 370,"The underwater search for Malaysia Airlines Flight 370 is on hold -- and probably will be for at least four days -- because of a malfunctioning part on the submersible Bluefin-21 and a broken transponder on the Bluefin's mother ship, the U.S. Navy's deputy director of ocean engineering said Wednesday.",CNN,5/15/2014,
From mundane to memorial,"When do ordinary objects become extraordinary? When they tell a story, like a pair of leather gloves worn in the 9/11 rescue effort.",CNN,5/15/2014,
GM: Do not drive these trucks,General Motors' recall for the year is 12.8 million worldwide. CNN's Poppy Harlow reports.,CNN,5/15/2014,
Guess how much pregnant mom lifted?!,Meghan Leatherman says that regular exercise made her pregnancy a breeze and she hopes to be a role model for other moms.,CNN,5/15/2014,
Hear the charges,Former New England Patriot Aaron Hernandez has been charged with first-degree murder in the deaths of two men in 2012.,CNN,5/15/2014,
Helping teens build healthy body image,"Seven years ago, Dawn Larkin-Wallace, a mom of three, took up running to lose that 10 to 20 pounds of baby weight that just wouldn't go away.",CNN,5/15/2014,
"Hernandez was shooter, prosecutors say",Former New England Patriots star Aaron Hernandez -- already charged in the 2013 slaying of a semipro football player -- faces murder charges in a 2012 double homicide in Boston.,CNN,5/15/2014,
Hero cat tackles dog to save little kid,"A Bakersfield, California, family is thanking their beloved cat for lending their young son one of her nine lives yesterday.",CNN,5/15/2014,
How Mississippi surprised Bourdain,"Anthony Bourdain explores the history, food and culture of the Mississippi Delta. For more, tune in Sunday, 9pm EST.",CNN,5/15/2014,
How to deal with your in-laws,Love them or hate them: In-laws are yours forever. And there's nothing like a wedding to make you get to know the newest addition to your family.,CNN,5/15/2014,
Images of captain abandoning ship,"Of the many shocking and wrenching images that have come from the sinking of the Sewol ferry, one that stands out for me depicts the vessel's captain -- head bowed and covered by a hood -- standing on dry land admitting he had abandoned ship.",CNN,5/15/2014,
Is shipwreck really the Santa Maria?,"Extraordinary claims require extraordinary evidence, the astronomer Carl Sagan once said. In the case of the extraordinary claim concerning the possible discovery of the wreck of Santa Maria, the flagship of Columbus' fleet, it's clear that we aren't there yet. In fact, we seem to be getting further away from proof all the time.",CNN,5/15/2014,
Japan to loosen reins on military,"Nearly seven decades after the end of World War II, Japanese Prime Minister Shinzo Abe is expected Thursday to call for long-standing limits on the country's military to be eased to allow it to come to the aid of allies under attack.",CNN,5/15/2014,
Jay Z,The hotel where Jay Z had an alleged altercation with Beyonce's sister says it has fired the person who leaked the tape to the media.,CNN,5/15/2014,
Joran van der Sloot,"He's serving a 28-year sentence for killing a Peruvian woman. He's also the main suspect in the disappearance of an American teenage girl. But these days, Joran van der Sloot is more focused on his wedding plans than his legal situation.",CNN,5/15/2014,
Joran van der Sloot to marry,"He's serving a 28-year sentence for killing a Peruvian woman. He's also the main suspect in the disappearance of an American teenage girl. But these days, Joran van der Sloot is more focused on his wedding plans than his legal situation.",CNN,5/15/2014,
Justin Bieber,"Justin Bieber is counting on ""the truth"" to set him free.",CNN,5/15/2014,
Justin Bieber: 'Don't believe rumors',"Justin Bieber is counting on ""the truth"" to set him free.",CNN,5/15/2014,
Kasem's kids 'want to see their dad',CNN Legal Analyst Avery Friedman talks with Brooke about his long-term friend's kids spat with Kasem's new wife,CNN,5/15/2014,
Kicked out of prom,A 17-year-old girl says she was kicked out of her prom after church chaperones complained about her dress and dancing.,CNN,5/15/2014,
Kidman's Grace Kelly causes a stir,"Myleene Klass takes a look at opening night of the Cannes Film Festival and Nicole Kidman's work in ""Grace of Monaco"".",CNN,5/15/2014,
Kids vote Limbaugh 'Author of the Year',Wondering what your kids actually love to read? The winners of the Children and Teen Choice Book Awards were announced Wednesday night -- and the winners are their choice.,CNN,5/15/2014,
'Like a scene from Armageddon',At least nine separate fires are burning in the San Diego region.,CNN,5/15/2014,
'Louie' episode sparks debate,"An episode on the TV show ""Louie"" is causing controversy after it grappled with the idea of dating an overweight woman.",CNN,5/15/2014,
Measles puts her cancer in remission,"A woman with an incurable cancer is now in remission, thanks, doctors say, to a highly concentrated dose of the measles virus.",CNN,5/15/2014,
Mine fire,"Rescue and recovery workers retrieved more bodies Thursday from a smoldering coal mine in western Turkey, where a fire has killed hundreds.",CNN,5/15/2014,
More than 200 die from coal mine fire,"Rescue and recovery workers retrieved more bodies Thursday from a smoldering coal mine in western Turkey, where a fire has killed hundreds.",CNN,5/15/2014,
Murder charges in ferry sinking,"Another 11 crew members have been indicted on charges of abandonment and violating a ship safety act in connection with the Sewol ferry sinking, the prosecutor's office says.",CNN,5/15/2014,
New icons in 9/11 museum ,"A worker's gloves, a scrap of steel, a wallet. Objects that survived obliteration on 9/11 find a home — and meaning — in new museum.",CNN,5/15/2014,
NSA,U.S. telecommunications companies are trying to put some distance between themselves and U.S. government spying programs after years of quietly complying with court orders to cooperate with National Security Agency surveillance.,CNN,5/15/2014,
Outrage sparked over this image,The image of an aide to Turkey's Prime Minister kicking a man protesting the mine disaster that has claimed nearly 300 lives has prompted outrage -- and has become a symbol of the anger felt against the government.,CNN,5/15/2014,
Person who leaked Jay Z video fired,The hotel where Jay Z had an alleged altercation with Beyonce's sister says it has fired the person who leaked the tape to the media.,CNN,5/15/2014,
Photos: TV shows that got the ax,TV networks swing the ax,CNN,5/15/2014,
Police: Too much cargo ,"The South Korean ferry disaster that killed more than 260 people last month was caused in part by excessive cargo and a failure to tie that cargo down properly, the joint police and prosecuting team investigating the disaster said Tuesday.",CNN,5/15/2014,
Prom dress,Just when you thought you'd heard everything.,CNN,5/15/2014,
Prom dress too short?,"A high school senior says she got kicked out of prom because chaperones said her short dress would cause young men ""to think impure thoughts.""",CNN,5/15/2014,
Prom police - who are they protecting?,"She was kicked out of prom. Is it her fault that her dress and dancing style could have caused ""impure thoughts?""",CNN,5/15/2014,
'Promposal' pressure,"Abby Rodgers walked out to her date's car and found roses, a teddy bear and a card sitting in the passenger's seat.",CNN,5/15/2014,
Reports: Sterling won't pay fine,"Los Angeles Clippers owner Donald Sterling has sent a letter to the National Basketball Association telling the league he won't pay his $2.5 million fine and rejecting his lifetime ban, according to multiple media reports.",CNN,5/15/2014,
Republicans block tax credits,"It is a rare, strange day when Senate Republicans vote to block billions in tax cuts. But that's what happened Thursday when they chose to freeze a massive tax credit package in order to protest how Democrats are running the chamber.",CNN,5/15/2014,
Rising oceans will be unstoppable ,"Have you heard the news? Because Antarctic ice sheets are melting, the sea level is likely to rise ""unstoppably"" by at least 10 feet, dooming many coastal towns and displacing millions of people. And it's all going to happen—within several centuries.",CNN,5/15/2014,
Roommates find WHAT in couch?,"Three roommates in New York were shocked to find $41,000 in a couch they bought from Salvation Army.",CNN,5/15/2014,
Say no to promposals,"Abby Rodgers walked out to her date's car and found roses, a teddy bear and a card sitting in the passenger's seat.",CNN,5/15/2014,
See what WH report threatens,Photo gallery: Sameple of severe weather,CNN,5/15/2014,
She lifts 215 lbs. before giving birth,Meghan Leatherman says that regular exercise made her pregnancy a breeze and she hopes to be a role model for other moms.,CNN,5/15/2014,
Shinseki 'mad as hell' about VA allegations,"Under withering criticism, Secretary of Veterans Affairs Eric Shinseki told a Senate committee on Thursday he was ""mad as hell"" about allegations of deadly waiting times and coverup at VA hospitals.",CNN,5/15/2014,
Shocking video of terrorist brutality,"Propaganda war in Yemen intensifies with shocking video of terrorist brutality released by al Qaeda affiliate, AQAP.",CNN,5/15/2014,
Should he resign?,"The nation's largest veteran organization, The American Legion, and one other veterans group, Concerned Veterans for America, on Monday called for the resignation of Veterans Affairs Secretary Eric K. Shinseki.",CNN,5/15/2014,
Solange vs. Jay Z: The Internet knows,Overprotective sister? Underprotective husband?,CNN,5/15/2014,
"Solange, Jay Z apologize (to each other)",We may never know the why -- though there has been no shortage of speculation on the Internet -- but at least now we know what the Carter-Knowles family has to say about their already infamous elevator fight.,CNN,5/15/2014,
Sudan court orders mom's execution,"Meriam Yehya Ibrahim was convicted by a Khartoum court of apostasy, or the renunciation of faith. She is eight months pregnant and is in custody with her 20-month-old son, Amnesty International says.",CNN,5/15/2014,
'Sugar Man' director committed suicide,"Malik Bendjelloul, the Oscar-winning director of ""Searching for Sugar Man,"" committed suicide, his brother said.",CNN,5/15/2014,
Sunken ferry,"The captain and three other crew members of the Sewol, the South Korean ferry that sank last month, have been charged with murder, chief prosecutor in the investigation Yang Joon-jin said Thursday.",CNN,5/15/2014,
Teen breaks record for fastest text,"A 16-year-old from Brazil can dash off a wordy, complicated, text message in the time most of us can thumb ""Where R U?"" And the folks with Guinness World Records have noticed.",CNN,5/15/2014,
Telecom firm challegened NSA ,U.S. telecommunications companies are trying to put some distance between themselves and U.S. government spying programs after years of quietly complying with court orders to cooperate with National Security Agency surveillance.,CNN,5/15/2014,
The most popular baby names are ...,"Michael and Jacob, your reign has ended.",CNN,5/15/2014,
The web pokes fun at elevator rumble,The web pokes fun at his sister-in-law's attack on Jay Z. CNN's Jeanne Moos showcases parodies of the elevator rumble.,CNN,5/15/2014,
They could face the death penalty,"Another 11 crew members have been indicted on charges of abandonment and violating a ship safety act in connection with the Sewol ferry sinking, the prosecutor's office says.",CNN,5/15/2014,
THIS 12-foot python found ... here!,A Texas woman was shocked to find a 12-foot python in her bathroom after a nearby resident lost it two months prior.,CNN,5/15/2014,
'This is only going to get worse',"Firefighters are battling five blazes in and around San Diego that have prompted at least 15,000 evacuation notices to residents and parts of a Marine Corps installation.",CNN,5/15/2014,
Thousands told to flee Calif. fires,"A day after wildfires ravaged the landscape, threatening homes, universities, a military base and a nuclear power plant, the Weather Service says today will be the hottest day of the week.",CNN,5/15/2014,
Thousands told to flee fires,"San Diego County is hoping for a break Thursday -- a day after wildfires ravaged the landscape, threatening homes, universities, a military base and a nuclear power plant.",CNN,5/15/2014,
Thousands told to flee near San Diego,"A day after wildfires ravaged the landscape, threatening homes, universities, a military base and a nuclear power plant, the Weather Service says today will be the hottest day of the week.",CNN,5/15/2014,
Times editor fired because she's a she? ,"You can draw your own conclusions about why Jill Abramson was fired, but as we look at the history of her tenure as executive editor of The New York Times, the world's most prestigious and influential newspaper, and learn details about how it came to an end, women everywhere are shaking their heads.",CNN,5/15/2014,
Tornado spotted near Miami airport,A tornado was reported Thursday near Miami International Airport.,CNN,5/15/2014,
Travel on the edge: Tourism extremes,"Wherever we go, travel bombards us with superlatives.",CNN,5/15/2014,
Turkish PM ripped over mining remarks,"Rescue and recovery workers retrieved more bodies Thursday from a smoldering coal mine in western Turkey, where a fire has killed hundreds.",CNN,5/15/2014,
U.S. drones searching for Nigerian girls,The United States is now using drones and manned surveillance aircraft over Nigeria in the search for the hundreds of schoolgirls kidnapped by Boko Haram.,CNN,5/15/2014,
UN is worried about 'killer robots',The UN is exploring new lethal weapon systems that could include robots. CNN's Jake Tapper reports.,CNN,5/15/2014,
VA chief 'mad as hell' over allegations,"Veterans dying while waiting for appointments. Secret lists. The VA chief says he's ""angered and saddened"" by the allegations and vowed to act.",CNN,5/15/2014,
VA chief: Some leaders removed,"Under withering criticism, Secretary of Veterans Affairs Eric Shinseki told a Senate committee on Thursday he was ""mad as hell"" about allegations of deadly waiting times and coverup at VA hospitals.",CNN,5/15/2014,
VA scandal,"Under fire after veterans died waiting for appointments at VA hospitals, Veteran Affairs Secretary Eric Shinseki will say Thursday that he is ""angered and saddened"" but won't be providing much detail about how his department is correcting the problems, according to prepared congressional testimony obtained by CNN.",CNN,5/15/2014,
Veterans dying waiting for healthcare,CNN's Drew Griffin reports on military veterans dying because of long waits and delayed care at U.S. Veterans Hospitals.,CNN,5/15/2014,
Villagers fight off Boko Haram attacks,"Residents of three villages in northeastern Nigeria took security into their own hands this week, repelling attacks by Boko Haram insurgents and killing more than 200 of them, residents and officials said.",CNN,5/15/2014,
"Voting cartoon pulled for sex, violence","It's a perennial problem. How do you persuade young, apathetic voters to go to the polls? Enter ""Voteman"" -- Denmark's rather ill-judged and short-lived cartoon solution.",CNN,5/15/2014,
Was her dress too short for prom?,"A high school senior says she got kicked out of prom because chaperones declared her dress too short and said she was going to cause young men ""to think impure thoughts.""",CNN,5/15/2014,
Watch the reported Jay Z-Solange elevator brawl,TMZ reportedly has video of an incident between persons that look like rapper Jay Z and singer Solange Knowles.,CNN,5/15/2014,
We need a 'right to be forgotten',"The European High Court ruled that a person has a ""right to be forgotten."" In response, some think that the sky is falling. I say the opposite.",CNN,5/15/2014,
WH chief of staff grilled on TV,CNN's Jake Tapper questions the White House Chief of Staff about the VA hospital scandal and the response.,CNN,5/15/2014,
WH on climate: Get used to fires,"Climate change is here and will only worsen. Get used to more flooding, wildfires and drought, depending on where you live. Cities and states across America already are spending lots of money to respond.",CNN,5/15/2014,
What Jackie O confided to priest,CNN's Tom Foreman reports on letters Jackie Kennedy wrote about her most intimate thoughts.,CNN,5/15/2014,
Who has the MH370 satellite data?,"Who has the data investigators used to shape their search for Malaysia Airlines Flight 370, and why hasn't it been released to the public?",CNN,5/15/2014,
Who needs high heels?,Kelci Stringer realized her days in high heels were numbered when her children began to walk.,CNN,5/15/2014,
Why now?,"This isn't supposed to be happening. Not now, anyway.",CNN,5/15/2014,
Wildfires,"This isn't supposed to be happening. Not now, anyway.",CNN,5/15/2014,
Woman could face death for her faith,A Christian woman in Sudan reportedly has until Thursday to either recant her faith or face a possible sentence of death.,CNN,5/15/2014,
Woman to be executed for her faith,"A Sudanese court has sentenced a Christian woman to death for renouncing Islam, a human rights group said Thursday.",CNN,5/15/2014,
Woman to be executed for her faith,"Meriam Yehya Ibrahim was convicted by a Khartoum court of apostasy, or the renunciation of faith. She is eight months pregnant and is in custody with her 20-month-old son, Amnesty International says.",CNN,5/15/2014,
"World Cup slogans: Good, bad, ugly","A ball hasn't been kicked yet, but have we seen the World Cup's first own goal?",CNN,5/15/2014,
"World's scariest, best water slides",Nine of the most acceptable and enjoyable ways to wet yourself this summer.,CNN,5/15/2014,
"World's scariest, best water slides",Verrückt will become the world's tallest water slide -- it's taller than both the Statue of Liberty and Niagara Falls -- when it opens in May in Kansas.,CNN,5/15/2014,
You can't wear that to prom,These students were told they couldn't wear their clothing of choice to a school dance,CNN,5/15/2014,
160 Students Suspended After Dress Code Crackdown,More than 160 Duncanville High School students are returning to school a day after a dress code crackdown sparked outrage with students and parents.,NBCNews,5/15/2014,
22 Most Outrageous Baby Names of 2013,"Ransom and Rarity, Subaru and Vice: While some parents go with tried-and-true baby names, others look for inspiration in unusual places.",NBCNews,5/15/2014,
"23,000 Photos: National 9/11 Museum By the Numbers","By the numbers, the sheer scale of the museum is breathtaking.",NBCNews,5/15/2014,
"A Biker, a Curmudgeon and a Governor: Idaho Debate Gets Wacky","What happens when you put a sitting governor, a biker named “Harley” and a man with a fantastic Santa Claus beard on stage together?",NBCNews,5/15/2014,
A Sister's Sacrifice,A track meet injury results in remarkable display of sisterhood and sportsmanship. KSDK's Tracy Clemons reports.,NBCNews,5/15/2014,
"A tour of Huguette Clark's empty mansion, Bellosguardo","Frozen in time since the 1950s, Bellosguardo, the estate of reclusive heiress Huguette Clark in Santa Barbara, has been kept up for $40,000 per month.",NBCNews,5/15/2014,
Aaron Hernandez Indicted for Double Murder in Boston,"Heading home after a night of clubbing, a carload of men in a black BMW were stopped at a red light in Boston's theater district when a silver SUV appeared alongside them and a hail of .38 caliber bullets came flying through the window — killing the driver and passenger.",NBCNews,5/15/2014,
Aaron Hernandez Indicted for Double Murder in Boston,"Former New England Patriot Aaron Hernandez, already jailed in connection with the murder of a friend, has been indicted for first-degree murder in connection with a fatal double shooting in Boston, prosecutors said Thursday.",NBCNews,5/15/2014,
"Afghan Presidential Election Heads to Abdullah, Ghani Run-Off","KABUL - The Afghan election headed for a second-round run-off in mid-June between Abdullah Abdullah, a former opposition leader, and ex-World Bank economist Ashraf Ghani after final results on Thursday showed no candidate had won an absolute majority.",NBCNews,5/15/2014,
Americans Back Death Penalty by Gas or Electrocution If No Needle: Poll,"A badly botched lethal injection in Oklahoma has not chipped away at the American public's support of the death penalty, although two-thirds of voters would back alternatives to the needle, an exclusive NBC News poll shows.",NBCNews,5/15/2014,
